Namespace(Lambda_KL=0.1, Lambda_ST=0.1, Lambda_global=1000, all_use='no', aux_iter=16, batch_size=128, beta=0.5, checkpoint_dir='checkpoint', cuda=True, entropy_thr=0.7, epoch_decay=100, epr=1, init_tgt_port=0.2, load_checkpoint=None, lr=0.0005, max_epoch=500, max_mu=1, max_tgt_port=0.5, mu=1.1000000000000001e-05, n_samples=10, nclasses=10, ndomain=5, net='conv3_fc2', nfeat=2048, no_cuda=False, num_rounds=20, optimizer='adam', pho=1.1, ratio=0.3, record_folder='record', save_epoch=20, save_model=True, seed=1, sigma=0.05, target='mnistm', tgt_port_step=0.05, use_target=True)

  Train Epoch:   0 [  1/195.3125 (0.01%)]	Loss_cls_domain: 9.20876	Loss_cls_source: 9.20661	Loss_cls_target: 0.00000	Loss_local: 0.00034	Loss_ALM: 0.00198	 mu: 0.00001
  Train Epoch:   0 [ 11/195.3125 (0.06%)]	Loss_cls_domain: 8.01019	Loss_cls_source: 7.96741	Loss_cls_target: 0.00000	Loss_local: 0.00015	Loss_ALM: 0.00193	 mu: 0.00001
  Train Epoch:   0 [ 21/195.3125 (0.11%)]	Loss_cls_domain: 7.33389	Loss_cls_source: 7.34772	Loss_cls_target: 0.00000	Loss_local: 0.00011	Loss_ALM: 0.00205	 mu: 0.00001
  Train Epoch:   0 [ 31/195.3125 (0.16%)]	Loss_cls_domain: 6.72775	Loss_cls_source: 6.75523	Loss_cls_target: 0.00000	Loss_local: 0.00010	Loss_ALM: 0.00202	 mu: 0.00001
  Train Epoch:   0 [ 41/195.3125 (0.21%)]	Loss_cls_domain: 6.10247	Loss_cls_source: 6.12597	Loss_cls_target: 0.00000	Loss_local: 0.00008	Loss_ALM: 0.00220	 mu: 0.00001
  Train Epoch:   0 [ 51/195.3125 (0.26%)]	Loss_cls_domain: 5.53331	Loss_cls_source: 5.55958	Loss_cls_target: 0.00000	Loss_local: 0.00007	Loss_ALM: 0.00240	 mu: 0.00001
  Train Epoch:   0 [ 61/195.3125 (0.31%)]	Loss_cls_domain: 4.95745	Loss_cls_source: 4.93835	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00238	 mu: 0.00001
  Train Epoch:   0 [ 71/195.3125 (0.36%)]	Loss_cls_domain: 4.48065	Loss_cls_source: 4.53761	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00262	 mu: 0.00002
  Train Epoch:   0 [ 81/195.3125 (0.41%)]	Loss_cls_domain: 3.99625	Loss_cls_source: 4.07876	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00261	 mu: 0.00002
  Train Epoch:   0 [ 91/195.3125 (0.47%)]	Loss_cls_domain: 3.64460	Loss_cls_source: 3.71678	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00288	 mu: 0.00002
  Train Epoch:   0 [101/195.3125 (0.52%)]	Loss_cls_domain: 3.33967	Loss_cls_source: 3.47212	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00318	 mu: 0.00002
  Train Epoch:   0 [111/195.3125 (0.57%)]	Loss_cls_domain: 2.95030	Loss_cls_source: 3.12648	Loss_cls_target: 0.00000	Loss_local: 0.00006	Loss_ALM: 0.00315	 mu: 0.00002
  Train Epoch:   0 [121/195.3125 (0.62%)]	Loss_cls_domain: 2.66141	Loss_cls_source: 2.84855	Loss_cls_target: 0.00000	Loss_local: 0.00005	Loss_ALM: 0.00346	 mu: 0.00002
